Subject,Release,Acquisition,GMV,WBV,ICV,,,,Gender,GenderTag,Age,AgeTag,over 36,FFI data,Tau reject,SD reject,age_tau_sd reject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_A,NEOFAC_C,NEO-FFI_Compl,NEORAW_01,NEORAW_02,NEORAW_03,NEORAW_04,NEORAW_05,NEORAW_06,NEORAW_07,NEORAW_08,NEORAW_09,NEORAW_10,NEORAW_11,NEORAW_12,NEORAW_13,NEORAW_14,NEORAW_15,NEORAW_16,NEORAW_17,NEORAW_18,NEORAW_19,NEORAW_20,NEORAW_21,NEORAW_22,NEORAW_23,NEORAW_24,NEORAW_25,NEORAW_26,NEORAW_27,NEORAW_28,NEORAW_29,NEORAW_30,NEORAW_31,NEORAW_32,NEORAW_33,NEORAW_34,NEORAW_35,NEORAW_36,NEORAW_37,NEORAW_38,NEORAW_39,NEORAW_40,NEORAW_41,NEORAW_42,NEORAW_43,NEORAW_44,NEORAW_45,NEORAW_46,NEORAW_47,NEORAW_48,NEORAW_49,NEORAW_50,NEORAW_51,NEORAW_52,NEORAW_53,NEORAW_54,NEORAW_55,NEORAW_56,NEORAW_57,NEORAW_58,NEORAW_59,NEORAW_60
100206,S900,Q11,0.849305562,1.419337238,1.647954548,,,,M,1,26-30,2,0,0,0,0,0,21,32,23,31,26,TRUE,D,A,A,SA,N,N,A,A,N,A,D,D,N,N,D,N,A,D,A,A,D,A,N,D,N,D,N,N,A,A,N,N,D,A,A,N,A,N,D,N,N,D,D,A,A,N,N,N,A,N,N,A,A,D,N,D,N,D,A,N
100307,Q1,Q01,0.69408265,1.122847432,1.267998838,,,,F,2,26-30,2,0,0,0,0,0,15,37,24,33,35,TRUE,N,SA,A,A,SA,D,A,N,D,N,A,D,N,D,N,N,A,D,N,A,D,N,A,SD,A,D,D,D,N,D,A,A,D,A,A,SD,A,N,D,A,D,D,N,D,D,A,A,D,A,A,D,SA,A,SD,D,D,D,D,SD,A
100408,Q3,Q03,0.747567881,1.283114715,1.480899107,,,,M,1,31-35,3,0,0,0,0,0,15,33,29,35,34,TRUE,D,A,N,SA,A,D,SA,SA,D,N,D,D,A,D,D,N,N,D,A,A,D,A,A,N,A,SD,D,A,D,N,A,D,D,A,A,SD,A,SD,D,A,D,N,D,N,D,N,A,D,SA,A,D,A,A,N,D,N,D,A,A,A
100610,S900,Q08,0.81900632,1.339753086,1.52183874,,,,M,1,26-30,2,0,0,0,0,0,7,15,33,29,36,TRUE,SA,D,D,SA,N,D,D,SA,SD,SA,SD,D,SA,N,SD,A,D,SD,N,SA,SD,D,D,A,A,D,A,SD,N,A,SA,D,D,A,A,SD,D,N,A,A,SD,N,A,A,D,A,D,D,SA,A,SD,N,SA,SD,D,A,SA,SA,D,A
101006,S500,Q06,0.601523441,1.052852723,1.20404954,,,,F,2,31-35,3,0,0,0,0,0,13,29,23,26,39,TRUE,D,N,A,SD,SA,D,A,A,SD,A,N,N,A,D,N,A,A,N,N,SA,D,N,D,A,A,SD,D,D,SA,SD,A,N,A,A,A,SD,A,A,SD,A,D,N,A,D,A,D,N,D,SA,SA,SD,A,N,N,SD,SD,N,N,SD,SA
101107,S500,Q06,0.711798281,1.144342761,1.271407857,,,,M,1,22-25,1,0,0,0,0,0,12,28,35,26,37,TRUE,A,N,D,A,A,SD,N,A,N,A,SD,SA,SA,N,D,N,N,SD,A,A,SD,A,N,N,N,SD,N,SA,N,N,A,N,D,A,SA,SA,N,N,N,SA,SD,N,D,A,SD,N,A,SD,SA,A,SD,SA,SA,A,D,N,SD,A,D,A
101309,S500,Q06,0.735331491,1.246379946,1.374320893,,,,M,1,26-30,2,0,0,0,0,0,2,26,22,32,36,TRUE,SA,N,A,SA,N,SD,A,SA,D,N,SD,N,A,SD,SD,SA,N,SD,SA,SA,SD,N,SA,A,N,SD,A,A,SA,N,SA,N,SD,SA,A,N,A,SA,N,SA,SD,N,SD,N,D,SA,N,A,SA,SA,SD,N,A,SD,D,SD,D,A,SD,A
101410,S500,Q06,0.860185297,1.346782219,1.513108952,,,,M,1,26-30,2,0,0,0,0,0,12,29,26,30,35,TRUE,N,N,N,A,A,D,A,A,D,A,D,D,A,D,N,A,N,N,N,N,D,A,A,N,A,D,N,N,A,D,A,N,D,A,A,D,N,D,D,N,D,N,D,N,D,A,N,D,SA,SA,SD,SA,A,D,D,D,N,N,D,SA
101915,Q3,Q04,0.716773488,1.142019784,1.291576904,,,,F,2,31-35,3,0,0,0,0,0,8,31,30,33,45,TRUE,N,D,A,SA,SA,SD,SA,SA,D,SA,SD,D,A,N,SD,A,A,SD,A,SA,D,N,D,D,SA,SD,A,SA,D,N,A,N,D,A,A,SD,A,A,D,SA,D,SD,A,SA,SD,A,D,D,SA,SA,D,SA,SA,SD,SD,SD,D,D,D,SA
102008,S500,Q06,0.76848224,1.250502488,1.409934466,,,,M,1,22-25,1,0,0,0,0,0,7,36,27,27,27,TRUE,SA,N,N,SA,N,D,A,A,D,N,SD,N,N,A,A,SA,SA,D,N,A,D,A,N,A,D,D,N,A,SA,N,A,N,D,SA,A,SD,SA,SA,D,A,SD,SD,A,SA,N,A,SA,A,SA,A,SD,A,SA,N,N,N,D,A,A,A
